,Tweet.Id,Datetime,Text,Username,Demand(Y/N),Process_Code,Coder,
2354,1266398381095579648,2020-05-29 15:57:57,"We need to shrink &amp; starve every police force and form of policing, now. #AbolitionNow #DefundThePolice  @crlosangeles https://t.co/xWn9rES7z1",C_Resistance,.,DEMANDING ABOLISHING POLICE,AMC,
2359,1266415382086086656,2020-05-29 17:05:30,"Join @ReparationsComm's convener Ron Daniels, along with an incredible line-up of scholars and activists this Sunday, May 31st, on the anniversary of the #TulsaMassacre of #BlackWallStreet https://t.co/FjG6UsoU75",ReparationsFund,.,EDUCATING ON HISTORY OF RACIAL VIOLENCE,AMC,
2372,1266461761273622528,2020-05-29 20:09:48,"These are 1,099 people that didn’t need to die! Find out more about the stories of each victim, and learn more about police violence where you live at https://t.co/PGROTZOlO5  #BlackLivesMatter #GeorgeFloydMurder #Georg
#Police #PoliceBrutality 
#Minneapolis #BreonnaTaylor https://t.co/UDVlg5kAMR",ReparationsFund,.,SHARING STORIES OF POLICE MURDERS,AMC,
2373,1266461764306141184,2020-05-29 20:09:48,"https://t.co/PGROTZOlO5  #BlackLivesMatter #GeorgeFloydMurder #Georg
#Police #PoliceBrutality 
#Minneapolis #BreonnaTaylor https://t.co/EX2DUIF7wj",ReparationsFund,.,NA,AMC,
2374,1266461767057563648,2020-05-29 20:09:49,"https://t.co/PGROTZOlO5  #BlackLivesMatter #GeorgeFloydMurder #Georg
#Police #PoliceBrutality 
#Minneapolis #BreonnaTaylor https://t.co/wCTKaprpSH",ReparationsFund,.,NA,AMC,
2375,1266461769762926592,2020-05-29 20:09:50,"https://t.co/PGROTZOlO5  #BlackLivesMatter #GeorgeFloydMurder #Georg
#Police #PoliceBrutality 
#Minneapolis #BreonnaTaylor https://t.co/nwGBXDOsKO",ReparationsFund,.,NA,AMC,
2376,1266461772820525056,2020-05-29 20:09:51,"https://t.co/PGROTZOlO5  #BlackLivesMatter #GeorgeFloydMurder #Georg
#Police #PoliceBrutality 
#Minneapolis #BreonnaTaylor https://t.co/SImHGzec2p",ReparationsFund,.,NA,AMC,
2377,1266461775441977344,2020-05-29 20:09:51,"https://t.co/PGROTZOlO5  #BlackLivesMatter #GeorgeFloydMurder #Georg
#Police #PoliceBrutality 
#Minneapolis #BreonnaTaylor https://t.co/6XdTLIJI1k",ReparationsFund,.,NA,AMC,
2378,1266465592984264704,2020-05-29 20:25:01,"Take Action TODAY to call for the release of Elder &amp; Political Prisoner Jalil Muntaqim, who is now hospitalized in NY with #COVID19.  Tweet &amp; call NY AG &amp; DOCCS Commissioner!  https://t.co/PfZxO3LNcq #FreeThemAll #FreeJalilMuntaqim",C_Resistance,.,DEMANDING THE RELEASE OF A PRISONER; CALLING TO ACTION,AMC,
2379,1266466524899930112,2020-05-29 20:28:44,"On any given night in the US, 550,000 people are unhoused. More than 1.4 million people experience homelessness each year.

Yet the criminalization of homelessness continues even amid the pandemic, in violation of CDC guidance and the Constitution.
https://t.co/UMtVTs4Du8",Justice_Collab,.,IDENTIFYING A HOMELESSNESS PROBLEM,AMC,
2380,1266466596513394688,2020-05-29 20:29:01,"@TishJames @NewYorkStateAG Withdraw your appeal of Judge Shick's 4/27 order releasing Anthony Bottom. If you had not appealed/blocked his release, Mr. Bottom wouldn't have contracted COVID &amp; wouldn't be seriously ill now. Withdraw the appeal so he can go home, recover &amp; stay safe",C_Resistance,.,CALLING ON AN ELECTED OFFICIAL TO ACT; DEMANDING RELEASE OF A PRISONER,AMC,
2381,1266466713937121280,2020-05-29 20:29:29,"@NYSDOCCS Cmr. Annucci should withdraw his appeal of the release of Anthony Bottom. On 4/27, Judge Stephan Schick ordered Mr. Bottom's release to protect him from COVID-19, but DOCCS appealed, blocking release. Now he is ill. Withdraw appeal so he can go home, recover &amp; stay safe",C_Resistance,.,CALLING ON AN ELECTED OFFICIAL TO ACT; DEMANDING RELEASE OF A PRISONER,AMC,
2382,1266469633978068992,2020-05-29 20:41:05,"Local governments have increasingly targeted unhoused populations with laws that ban activities like sleeping in public or in cars, and with routine “sweeps” of encampments where personal belongings can be confiscated or destroyed.

In effect, homelessness itself becomes a crime. https://t.co/IC9SnjHSYn",Justice_Collab,.,EXPLAINING THE CRIMINALIZATION OF HOMELESSNESS,AMC,
2383,1266469896541491200,2020-05-29 20:42:07,"Treating homelessness like a crime is often unconstitutional: Courts have ruled that unhoused people retain fundamental rights.

Officials can’t destroy people’s property without due process, nor can they displace people who have no access to shelter or alternative housing. https://t.co/YRvOYLwaVi",Justice_Collab,.,DISCOURAGING POLICING HOMELESSNESS,AMC,
2384,1266470121293279232,2020-05-29 20:43:01,"Over-policing those experiencing homelessness is expensive, ineffective, and illegal.

Advocates and experts agree: It's far more efficient to provide housing and services than to punish people and hamper their ability to receive benefits and employment. https://t.co/UMtVTs4Du8",Justice_Collab,.,DISCOURAGING POLICING HOMELESSNESS,AMC,
2385,1266470419189489664,2020-05-29 20:44:12,"Homelessness is a systemic problem that requires systemic policy reform —  an increase in affordable housing, fair wages, and a social safety net that provides stability in emergencies like job loss, illness, or a pandemic that shuts down the economy. 
https://t.co/UMtVTs4Du8",Justice_Collab,.,DEMANDING BETTER POLICIES TO COMBAT HOMELESSNESS,AMC,
2386,1266470638996189184,2020-05-29 20:45:04,"57% of American cities have laws prohibiting camping in public. Citywide camping bans have increased by 92% since 2006.

Cities that continue harsh enforcement may soon find themselves subject to litigation, yet the criminalizing and ""sweeping"" away of unhoused people persists.",Justice_Collab,.,EXPLAINING THE CRIMINALIZATION OF HOMELESSNESS,AMC,
2387,1266520462797893632,2020-05-30 0:03:03,Happening now! https://t.co/yLgEJa8sd5,C_Resistance,.,NA,AMC,
2388,1266562787456757760,2020-05-30 2:51:14,Say their name. #TonyMcDade. https://t.co/L4gb2CAbBO,SisterSong_WOC,.,HONORING A VICTIM OF POLICE BRUTALITY,AMC,
2389,1266563157067251712,2020-05-30 2:52:42,Say his name. #GeorgeFloyd https://t.co/UlHXXXWtx8,SisterSong_WOC,.,HONORING A VICTIM OF POLICE BRUTALITY,AMC,
2390,1266563275556376576,2020-05-30 2:53:11,Say her name. #JusticeforBreonnaTaylor! https://t.co/dIbMrxTz9J,SisterSong_WOC,.,HONORING A VICTIM OF POLICE BRUTALITY,AMC,
2391,1266578681008402432,2020-05-30 3:54:24,"From Brunswick to Indianapolis to Tallahassee, Minneapolis, and Louisville — our families can’t take it anymore. We must #DefendBlackLife and #DefundPolice. https://t.co/767YyZDdPA",OrganizingBlack,.,EXPRESSING DISAPPROVAL OF POLICE,AMC,
